"No.","Time","Source","Destination","Protocol","Length","Info"
"24","0.517175","172.16.243.198","35.186.224.47","TLSv1.2","96","Application Data"
"25","0.523171","172.16.246.82","224.0.0.252","LLMNR","87","Standard query 0x773e PTR 177.243.16.172.in-addr.arpa"
"26","0.523174","IntelCor_aa:90:0b","Broadcast","ARP","60","Who has 172.16.243.177? Tell 172.16.246.82"
"27","0.523177","172.16.244.225","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"28","0.524457","172.16.244.225","172.16.255.255","UDP","62","2007  >  2007 Len=20"
"29","0.524460","172.16.244.127","172.16.255.255","NBNS","92","Name query NB WPAD<00>"
"30","0.557510","35.186.224.47","172.16.243.198","TLSv1.2","93","Application Data"
"31","0.601409","172.16.243.198","35.186.224.47","TCP","54","55237  >  443 [ACK] Seq=43 Ack=40 Win=256 Len=0"
"32","0.626272","172.16.242.113","230.0.0.1","UDP","92","49742  >  6666 Len=50"
"33","0.626275","172.16.244.225","172.16.255.255","UDP","62","2007  >  2007 Len=20"
"34","0.626277","172.16.242.250","224.0.0.251","MDNS","144","Standard query response 0x0000 PTR _tw-multipeer._tcp.local OPT"
"35","0.627600","fe80::6a:f46a:5dad:c8af","ff02::fb","MDNS","164","Standard query response 0x0000 PTR _tw-multipeer._tcp.local OPT"
"36","0.836735","172.16.240.90","224.0.0.251","MDNS","180","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad._companion-link._tcp.local PTR mbp2017._companion-link._tcp.local OPT"
"37","0.837726","fe80::811:584f:5032:9c17","ff02::fb","MDNS","200","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR iPad._companion-link._tcp.local PTR mbp2017._companion-link._tcp.local OPT"
"38","0.837727","172.16.241.171","224.0.0.251","MDNS","491","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR K\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\346\\235\\261\\346\\265\\267\\346\\236\\227\\346\\213\\223\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\351\\201\\240\\350\\227\\244\\343\\200\\200\\345\\207\\214\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\345\\240\\200\\346\\261\\237\\345\\245\\210\\345\\244\\256\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local PTR \\346\\265\\205\\345\\267\\235\\350\\253\\222\\343\\201\\256MacBook Pro ._companion-link._tcp.local PTR \\345\\267\\235\\346\\235\\221\\345\\222\\214\\350\\274\\235\\343\\201\\256MacBook Air._companion-link._tcp.local PTR Ryo\\342\\200\\231s iPad._companion-link._tcp.local PTR iPad._companion-link._tcp.local PTR MacBook Pro (6)._companion-link._tcp.local OPT"
"39","0.940614","d0:c6:37:af:e8:e9","Broadcast","ARP","60","Who has 172.16.242.150? Tell 172.16.250.167"
"40","0.940617","172.16.241.195","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"41","0.941389","IntelCor_56:d5:15","Broadcast","ARP","60","Who has 172.16.244.44? Tell 0.0.0.0"
"42","0.941391","IntelCor_56:d5:15","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.244.44"
"43","0.941392","172.16.244.44","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"44","1.044074","fe80::88f:5998:601c:e012","ff02::fb","MDNS","199","Standard query 0x0000 TXT \\351\\200\\262\\350\\263\\242\\345\\244\\252\\351\\203\\216\\343\\201\\256MacBook Air._companion-link._tcp.local, ""QM"" question TXT \\351\\200\\262\\350\\263\\242\\345\\244\\252\\351\\203\\216\\343\\201\\256MacBook Air (2)._companion-link._tcp.local, ""QM"" question OPT"
"45","1.044076","172.16.242.250","224.0.0.251","MDNS","158","Standard query 0x0000 ANY 3jy2e9kjumytj._tw-multipeer._tcp.local, ""QM"" question SRV 0 0 55062 iPhone-106.local OPT"
"46","1.045121","fe80::6a:f46a:5dad:c8af","ff02::fb","MDNS","178","Standard query 0x0000 ANY 3jy2e9kjumytj._tw-multipeer._tcp.local, ""QM"" question SRV 0 0 55062 iPhone-106.local OPT"
"47","1.045124","Google_73:1a:e5","Broadcast","ARP","60","Who has 172.16.244.140? Tell 172.16.246.212"
"48","1.045126","172.16.244.225","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"49","1.149590","fe80::d44c:417c:931:b1ff","ff02::c","UDP","718","50690  >  3702 Len=656"
"50","1.150353","172.16.244.183","172.16.255.255","UDP","305","54915  >  54915 Len=263"
"51","1.150356","172.16.244.176","224.0.0.251","MDNS","90","Standard query response 0x0000 A, cache flush 172.16.244.176"
"52","1.150359","172.16.241.94","224.0.0.251","MDNS","105","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question OPT"
"53","1.150360","fe80::146b:3fd9:a054:e758","ff02::fb","MDNS","125","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question OPT"
"54","1.253355","172.16.246.81","224.0.0.251","MDNS","378","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question TXT MacBook Pro t._companion-link._tcp.local, ""QU"" question PTR \\345\\260\\217\\351\\207\\216\\346\\226\\207\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local PTR SHIHAN\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\346\\235\\261\\346\\265\\267\\346\\236\\227\\346\\213\\223\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR iniad\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR mbp2017._companion-link._tcp.local OPT"
"55","1.254792","fe80::e4:2343:843c:7ba8","ff02::fb","MDNS","398","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QU"" question PTR _raop._tcp.local, ""QU"" question TXT MacBook Pro t._companion-link._tcp.local, ""QU"" question PTR \\345\\260\\217\\351\\207\\216\\346\\226\\207\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local PTR SHIHAN\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\346\\235\\261\\346\\265\\267\\346\\236\\227\\346\\213\\223\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR iniad\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR mbp2017._companion-link._tcp.local OPT"
"56","1.254796","Apple_c8:79:4b","Broadcast","ARP","60","Who has 172.16.247.19? Tell 172.16.245.10"
"57","1.254797","172.16.244.165","224.0.0.251","MDNS","139","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"58","1.312534","172.16.243.198","192.168.220.2","DNS","75","Standard query 0x9c8b A play.google.com"
"59","1.313154","172.16.243.198","192.168.220.2","DNS","75","Standard query 0x2570 AAAA play.google.com"
"60","1.315569","192.168.220.2","172.16.243.198","DNS","91","Standard query response 0x9c8b A play.google.com A 172.217.31.142"
"61","1.317966","192.168.220.2","172.16.243.198","DNS","103","Standard query response 0x2570 AAAA play.google.com AAAA 2404:6800:4004:808::200e"
"62","1.323052","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","1392","Client Hello, PKN: 1, CID: 4499802902967155008"
"63","1.323546","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","472","Payload (Encrypted), PKN: 2, CID: 4499802902967155008"
"64","1.347428","172.16.243.198","172.16.255.255","BROWSER","243","Host Announcement WIN, Workstation, Server, NT Workstation, Potential Browser"
"65","1.353279","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","92","Payload (Encrypted), PKN: 1, CID: 4499802902967155008"
"66","1.357217","172.16.246.82","224.0.0.252","LLMNR","86","Standard query 0x2bee PTR 44.244.16.172.in-addr.arpa"
"67","1.357490","IntelCor_9e:4c:74","Broadcast","ARP","60","Who has 172.16.255.24? Tell 0.0.0.0"
"68","1.362715","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","93","Payload (Encrypted), PKN: 3"
"69","1.387027","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","82","Payload (Encrypted), PKN: 4"
"70","1.398537","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","1392","Payload (Encrypted), PKN: 5"
"71","1.398888","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","393","Payload (Encrypted), PKN: 6"
"72","1.399263","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","78","Payload (Encrypted), PKN: 7"
"73","1.399268","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","103","Payload (Encrypted), PKN: 3, CID: 4499802902967155008"
"74","1.399445","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","93","Payload (Encrypted), PKN: 4, CID: 4499802902967155008"
"75","1.399654","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","93","Payload (Encrypted), PKN: 5, CID: 4499802902967155008"
"76","1.421193","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:801::2004","UDP","85","51923  >  443 Len=23"
"77","1.429148","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","93","Payload (Encrypted), PKN: 6, CID: 4499802902967155008"
"78","1.444459","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","82","Payload (Encrypted), PKN: 8"
"79","1.453412","2404:6800:4004:801::2004","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","UDP","82","443  >  51923 Len=20"
"80","1.461832","172.16.247.19","224.0.0.251","MDNS","141","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QU"" question OPT"
"81","1.461834","fe80::c98:d13d:25c3:8dbf","ff02::fb","MDNS","161","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QU"" question OPT"
"82","1.463224","172.16.244.21","224.0.0.251","MDNS","141","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QU"" question OPT"
"83","1.463228","172.16.240.19","230.0.0.1","UDP","92","56175  >  6666 Len=50"
"84","1.463230","fe80::10aa:8370:1ff2:553d","ff02::fb","MDNS","161","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QU"" question OPT"
"85","1.566302","172.16.244.127","172.16.255.255","NBNS","92","Name query NB DVJBVZNNRXBNOF<00>"
"86","1.566305","172.16.244.127","172.16.255.255","NBNS","92","Name query NB ULLHOCTNOFEAJ<00>"
"87","1.567393","172.16.244.127","172.16.255.255","NBNS","92","Name query NB BWIQBQHGL<00>"
"88","1.567396","Apple_79:ab:d2","Broadcast","ARP","60","Who has 172.16.242.156? Tell 172.16.241.37"
"89","1.775461","172.16.245.194","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"90","1.775465","172.16.245.194","172.16.255.255","UDP","62","2007  >  2007 Len=20"
"91","1.775466","172.16.244.127","230.0.0.1","UDP","92","56698  >  6666 Len=50"
"92","1.776525","172.16.244.225","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"93","1.776527","172.16.244.225","172.16.255.255","UDP","62","2007  >  2007 Len=20"
"94","1.843590","172.16.243.198","18.182.92.196","TLSv1.2","117","Application Data"
"95","1.844632","172.16.243.198","35.227.225.114","UDP","145","52690  >  443 Len=103"
"96","1.850809","18.182.92.196","172.16.243.198","TLSv1.2","117","Application Data"
"97","1.858037","35.227.225.114","172.16.243.198","UDP","64","443  >  52690 Len=22"
"98","1.869548","35.227.225.114","172.16.243.198","UDP","245","443  >  52690 Len=203"
"99","1.869757","35.227.225.114","172.16.243.198","UDP","62","443  >  52690 Len=20"
"100","1.871190","172.16.243.198","35.227.225.114","UDP","71","52690  >  443 Len=29"
"101","1.881212","172.16.243.48","224.0.0.251","MDNS","141","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QU"" question OPT"
"102","1.881666","fe80::8e0:205:5e39:5fb0","ff02::fb","MDNS","161","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QU"" question OPT"
"103","1.881667","172.16.244.148","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR kotaro._companion-link._tcp.local OPT"
"104","1.881668","fe80::a:2f0e:2c70:773f","ff02::fb","MDNS","180","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR kotaro._companion-link._tcp.local OPT"
"105","1.882267","172.16.245.194","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"106","1.893364","172.16.243.198","18.182.92.196","TCP","54","55206  >  443 [ACK] Seq=64 Ack=64 Win=253 Len=0"
"107","1.986151","Google_73:1a:e5","Broadcast","ARP","60","Who has 172.16.242.120? Tell 172.16.246.212"
"108","1.986153","172.16.245.194","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"109","1.986813","172.16.245.194","172.16.255.255","UDP","62","2007  >  2007 Len=20"
"110","1.986815","172.16.240.139","224.0.0.251","MDNS","120","Standard query 0x0000 PTR _raop._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question OPT"
"111","2.090424","Google_73:1a:e5","Broadcast","ARP","60","Who has 172.16.244.24? Tell 172.16.246.212"
"112","2.090427","172.16.240.219","172.16.255.255","NBNS","92","Name query NB <01><02>__MSBROWSE__<02><01>"
"113","2.091135","172.16.240.219","172.16.255.255","NBNS","110","Release NB MACBOOKAIR-61B5<00>"
"114","2.091137","172.16.245.194","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"115","2.091137","172.16.245.194","172.16.255.255","UDP","62","2007  >  2007 Len=20"
"116","2.194743","Apple_e0:87:41","Broadcast","ARP","60","Who has 172.16.247.3? Tell 172.16.240.93"
"117","2.194746","Apple_a3:0b:d4","Broadcast","ARP","60","Who has 172.16.245.194? Tell 172.16.240.90"
"118","2.195229","172.16.254.116","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"119","2.196111","172.16.244.225","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"120","2.250700","172.16.243.198","13.251.99.200","TLSv1.2","117","Application Data"
"121","2.302684","172.16.241.48","224.0.0.251","MDNS","464","Standard query response 0x0000 TXT PTR MacBook Pro t._companion-link._tcp.local TXT, cache flush AAAA, cache flush fe80::188b:d138:228f:2efc A, cache flush 172.16.241.48 AAAA, cache flush 2001:df7:5600:8002:1ca5:f4dd:d6ce:acae SRV, cache flush 0 0 58673 MacBook-Pro-t.local NSEC, cache flush MacBook Pro t._companion-link._tcp.local NSEC, cache flush MacBook-Pro-t.local"
"122","2.302688","fe80::188b:d138:228f:2efc","ff02::fb","MDNS","484","Standard query response 0x0000 TXT PTR MacBook Pro t._companion-link._tcp.local TXT, cache flush AAAA, cache flush fe80::188b:d138:228f:2efc A, cache flush 172.16.241.48 AAAA, cache flush 2001:df7:5600:8002:1ca5:f4dd:d6ce:acae SRV, cache flush 0 0 58673 MacBook-Pro-t.local NSEC, cache flush MacBook Pro t._companion-link._tcp.local NSEC, cache flush MacBook-Pro-t.local"
"123","2.302691","172.16.244.225","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"124","2.323158","13.251.99.200","172.16.243.198","TCP","60","443  >  55207 [ACK] Seq=1 Ack=64 Win=8 Len=0"
"125","2.323828","13.251.99.200","172.16.243.198","TLSv1.2","117","Application Data"
"126","2.365381","172.16.243.198","13.251.99.200","TCP","54","55207  >  443 [ACK] Seq=64 Ack=64 Win=253 Len=0"
"127","2.402845","172.16.246.82","224.0.0.252","LLMNR","86","Standard query 0x6c9e PTR 72.241.16.172.in-addr.arpa"
"128","2.404436","IntelCor_aa:90:0b","Broadcast","ARP","60","Who has 172.16.241.72? Tell 172.16.246.82"
"129","2.404439","172.16.240.222","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"130","2.405287","IntelCor_59:be:29","Broadcast","ARP","60","Who has 172.16.245.181? Tell 172.16.242.109"
"131","2.506709","fe80::d44c:417c:931:b1ff","ff02::1:3","LLMNR","95","Standard query 0x3bf9 ANY LAPTOP-9OAVU2GE"
"132","2.506711","172.16.244.44","224.0.0.252","LLMNR","75","Standard query 0x3bf9 ANY LAPTOP-9OAVU2GE"
"133","2.506712","172.16.244.44","224.0.0.251","MDNS","142","Standard query 0x0000 PTR _apple-mobdev._tcp.local, ""QU"" question PTR 4c2e056c._sub._apple-mobdev2._tcp.local, ""QU"" question OPT"
"134","2.508295","172.16.244.225","172.16.255.255","UDP","62","2008  >  2008 Len=20"
"135","2.611708","172.16.241.142","172.16.255.255","NBNS","92","Name query NB WPAD<00>"
"136","2.611711","172.16.243.186","224.0.0.251","MDNS","141","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QM"" question OPT"
"137","2.612864","fe80::1c5b:4d28:ea3b:1141","ff02::fb","MDNS","161","Standard query 0x0000 TXT MediaCenter\\343\\201\\256MacBook Pro._companion-link._tcp.local, ""QM"" question OPT"
"138","2.612866","172.16.254.116","224.0.0.251","MDNS","424","Standard query response 0x0000 TXT PTR \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local AAAA, cache flush fe80::1046:9181:9e7b:5b15 A, cache flush 172.16.254.116 AAAA, cache flush 2001:df7:5600:8002:1cea:f8b1:987:80ac TXT, cache flush SRV, cache flush 0 0 50757 horieshoutaakiranoMacBook.local NSEC, cache flush horieshoutaakiranoMacBook.local NSEC, cache flush \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local"
"139","2.713004","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","163","Payload (Encrypted), PKN: 7, CID: 4499802902967155008"
"140","2.715233","172.16.243.22","224.0.0.251","MDNS","196","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR \\345\\260\\217\\351\\207\\216\\346\\226\\207\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local OPT"
"141","2.716120","fe80::189a:77b3:1236:dae1","ff02::fb","MDNS","216","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR \\345\\260\\217\\351\\207\\216\\346\\226\\207\\345\\274\\245\\343\\201\\256MacBook Pro._companion-link._tcp.local PTR \\345\\240\\200\\346\\261\\237\\347\\245\\245\\345\\244\\252\\346\\234\\227\\343\\201\\256MacBook._companion-link._tcp.local OPT"
"142","2.716123","172.16.242.113","230.0.0.1","UDP","92","49742  >  6666 Len=50"
"143","2.716125","172.16.240.219","172.16.255.255","NBNS","92","Name query NB <01><02>__MSBROWSE__<02><01>"
"144","2.743572","172.16.243.198","192.168.220.2","DNS","71","Standard query 0x942a A twitter.com"
"145","2.744018","172.16.243.198","192.168.220.2","DNS","71","Standard query 0x38f1 AAAA twitter.com"
"146","2.744410","172.16.243.198","192.168.220.2","DNS","84","Standard query 0xf1ff A www.google-analytics.com"
"147","2.744798","172.16.243.198","192.168.220.2","DNS","84","Standard query 0x87a5 AAAA www.google-analytics.com"
"148","2.745010","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","82","Payload (Encrypted), PKN: 9"
"149","2.748885","172.16.243.198","192.168.220.2","DNS","83","Standard query 0x5358 AAAA syndication.twitter.com"
"150","2.749594","192.168.220.2","172.16.243.198","DNS","103","Standard query response 0x942a A twitter.com A 104.244.42.1 A 104.244.42.193"
"151","2.750095","172.16.243.198","104.244.42.65","TLSv1.2","124","Application Data"
"152","2.750213","172.16.243.198","104.244.42.65","TLSv1.2","100","Application Data"
"153","2.750457","192.168.220.2","172.16.243.198","DNS","143","Standard query response 0x38f1 AAAA twitter.com SOA ns1.p26.dynect.net"
"154","2.751461","192.168.220.2","172.16.243.198","DNS","156","Standard query response 0x87a5 AAAA www.google-analytics.com CNAME www-google-analytics.l.google.com AAAA 2404:6800:4004:80b::200e"
"155","2.752183","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","125","Payload (Encrypted), PKN: 10"
"156","2.752477","2404:6800:4004:808::200e","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","GQUIC","78","Payload (Encrypted), PKN: 11"
"157","2.752744","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","GQUIC","90","Payload (Encrypted), PKN: 8, CID: 4499802902967155008"
"158","2.754627","104.244.42.65","172.16.243.198","TCP","60","443  >  56562 [ACK] Seq=1 Ack=71 Win=1701 Len=0"
"159","2.754939","104.244.42.65","172.16.243.198","TCP","60","443  >  56562 [ACK] Seq=1 Ack=117 Win=1701 Len=0"
"160","2.754940","104.244.42.65","172.16.243.198","TLSv1.2","100","Application Data"
"161","2.755197","192.168.220.2","172.16.243.198","DNS","155","Standard query response 0x5358 AAAA syndication.twitter.com SOA ns1.p26.dynect.net"
"162","2.757377","172.16.243.198","192.168.220.2","DNS","73","Standard query 0xff0d A pbs.twimg.com"
"163","2.758181","172.16.243.198","192.168.220.2","DNS","73","Standard query 0x4268 AAAA pbs.twimg.com"
"164","2.761161","172.16.243.198","192.168.220.2","DNS","73","Standard query 0x1e2c A abs.twimg.com"
"165","2.761641","172.16.243.198","192.168.220.2","DNS","73","Standard query 0xdc41 AAAA abs.twimg.com"
"166","2.764387","192.168.220.2","172.16.243.198","DNS","227","Standard query response 0xff0d A pbs.twimg.com CNAME cs196.wac.edgecastcdn.net CNAME cs2-wac.apr-8315.edgecastdns.net CNAME cs2-wac-as.8315.ecdns.net CNAME cs672.wac.edgecastcdn.net A 192.229.237.96"
"167","2.770050","192.168.220.2","172.16.243.198","DNS","227","Standard query response 0x1e2c A abs.twimg.com CNAME cs196.wac.edgecastcdn.net CNAME cs2-wac.apr-8315.edgecastdns.net CNAME cs2-wac-as.8315.ecdns.net CNAME cs672.wac.edgecastcdn.net A 192.229.237.96"
"168","2.787673","192.168.220.2","172.16.243.198","DNS","144","Standard query response 0xf1ff A www.google-analytics.com CNAME www-google-analytics.l.google.com A 172.217.24.142"
"169","2.800926","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:80b::200e","GQUIC","1392","Client Hello, PKN: 1, CID: 17605419468368222066"
"170","2.801881","172.16.243.198","104.244.42.65","TCP","54","56562  >  443 [ACK] Seq=117 Ack=47 Win=256 Len=0"
"171","2.803139","192.168.220.2","172.16.243.198","DNS","239","Standard query response 0x4268 AAAA pbs.twimg.com CNAME cs196.wac.edgecastcdn.net CNAME cs2-wac.apr-8315.edgecastdns.net CNAME cs2-wac-as.8315.ecdns.net CNAME cs672.wac.edgecastcdn.net AAAA 2606:2800:248:1707:10d3:19d0:1ba2:1a23"
"172","2.805077","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","TCP","74","57021  >  443 [FIN, ACK] Seq=1 Ack=1 Win=260 Len=0"
"173","2.805138","2001:df7:5600:8002:f4d9:f9d7:97cf:1f28","2404:6800:4004:808::200e","TCP","74","57021  >  443 [RST, ACK] Seq=2 Ack=1 Win=0 Len=0"
